book	chapter	verse	anchor	references
Gn	4	9	Où est	Gn 3:9-11|Ps 9:13
Gn	4	9	Je ne sais pas	Gn 37:32|Jb 22:13-14|Ps 10:13-14|Pr 28:13|Jn 8:44|Ac 5:4-9
Gn	4	10	Qu'as-tu fait	Gn 3:13|Jos 7:19|Ps 50:21
Gn	4	10	Le sang de ton frère crie	Gn 18:20|Ex 3:7|2 Rs 9:26|Jb 16:18|Jb 24:12|Jb 31:38-39|Ps 9:13|Ps 72:14|Es 5:7|Ac 5:3,9|He 11:4|He 12:24|Jc 5:4|Ap 6:10
Gn	4	11	Désormais, tu es maudit, chassé loin du sol qui	Gn 4:14|Gn 3:14|Dt 27:16-26|Dt 28:15-20|Dt 29:18-20|Ga 3:10
Gn	4	11	s'est entrouvert	Jb 16:18|Jb 31:38-40|Es 26:21|Ap 12:16
Gn	4	12	il ne te donnera plus	Gn 3:17-18|Lv 26:20|Dt 28:23-24|Rm 8:20
Gn	4	12	errant	Gn 4:14|Lv 26:36|Dt 28:65-66|Ps 109:10|Jr 20:3-4|Os 9:17
Gn	4	13	Ma peine est trop grande pour être supportée.	Jb 15:22|Ap 16:9,11,21
Gn	4	14	chasses	Jb 15:20-24|Pr 14:32|Pr 28:1|Es 8:22|Os 13:3
Gn	4	14	loin de toi	Gn 4:16|Jb 21:14-15|Ps 51:13-16|Ps 143:7|Mt 25:41,46|2 Th 1:9
Gn	4	14	errant	Dt 28:65|Ps 109:10|Ps 109:12
Gn	4	14	et toute personne	Gn 4:15|Gn 9:5-6|Lv 26:17,36|Nb 17:27-28|Nb 35:19,21,27|2 Sam 14:7|Jb 15:20-24|Pr 28:1
Gn	4	15	Si quelqu'un	1 Rs 16:7|Ps 59:12|Os 1:4|Mt 26:52
Gn	4	15	sept fois	Gn 4:24|Lv 26:18,21,24,28|Ps 79:12|Pr 6:31
Gn	4	15	mit un signe	Ez 9:4,6|Ap 14:9,11
Gn	4	16	s'éloigna	Gn 4:14|Gn 3:8|Ex 20:18|2 Rs 13:23|2 Rs 24:20|Jb 1:12|Jb 2:7|Jb 20:17|Ps 5:12|Ps 68:3|Jr 23:39|Jr 52:3|Jn 1:3,10|Mt 18:20|Lc 13:26|1 Th 1:9
Gn	4	17	mit au monde Hénoc	Gn 5:18,22
Gn	4	17	Il construisit	Gn 11:4|Ec 2:4-11|Dn 4:27|Lc 17:28-29
Gn	4	17	le nom	2 Sam 18:18|Ps 49:12
Gn	4	18	Lémec	Gn 5:21|Gn 36:2
Gn	4	19	deux femmes	Gn 2:18,24|Mt 19:4-6,8
Gn	4	20	l'ancêtre	Gn 4:21|1 Ch 2:50-52|1 Ch 4:4-5|Jn 8:44|Rm 4:11-12
Gn	4	20	habitent	Gn 4:2|Gn 25:27|Jr 35:9-10|He 11:9
Gn	4	21	l'ancêtre	Rm 4:11-12
Gn	4	21	la harpe	Gn 31:27|Jb 21:12|Es 5:12|Am 6:5
Gn	4	22	bronze	Ex 25:3|Nb 31:22|Dt 8:9|Dt 33:25|2 Ch 2:6
Gn	4	23	écoutez-moi	Nb 23:18|Jg 9:7
Gn	4	24	77 fois	Mt 18:22
Gn	4	25	l'appela	Gn 5:3-4|1 Ch 1:1|Lc 3:38
Gn	4	25	Seth	Gn 4:1-3,8,10-11
Gn	4	26	Enosh	Dt 26:17-18|1 Rs 18:24|Ps 116:17|Es 44:5|Es 48:1|Es 63:19|Jr 33:16|Jl 3:5|So 3:9|Ac 2:21|Ac 11:26|Rm 10:13|1 Co 1:2|Ep 3:14-15
