book	chapter	verse	anchor	references
Gen	3	17	Because you have listened to the voice of your wife	1 Sam 15:23-24|Matt 22:12|Matt 25:26-27, 45|Luke 19:22|Rom 3:19
Gen	3	17	have eaten from the tree	Gen 3:6, 11|Gen 2:16-17|Jer 7:23-24
Gen	3	17	cursed is the ground	Gen 5:29|Ps 127:2|Eccl 1:2-3, 13-14|Eccl 2:11, 17|Isa 24:5-6|Rom 8:20-22
Gen	3	17	through toil	Job 5:6-7|Job 14:1|Job 21:17|Ps 90:7-9|Eccl 2:22-23|Eccl 5:17|John 16:33
Gen	3	18	thorns and thistles	Josh 23:13|Job 5:5|Job 31:40|Prov 22:5|Prov 24:31|Isa 5:6|Isa 7:23|Isa 32:13|Jer 4:3|Jer 12:13|Matt 13:7|Heb 6:8
Gen	3	18	plants of the field	Job 1:21|Ps 90:3|Ps 104:2, 14-15|Rom 14:2
Gen	3	19	By the sweat of your brow	Eccl 1:3, 13|Eph 4:28|1 Thess 2:9|2 Thess 3:10
Gen	3	19	until you return to the ground	Job 1:21|Ps 90:3|Ps 104:29|Eccl 5:15
Gen	3	19	For dust you are	Gen 2:7|Gen 18:27
Gen	3	19	and to dust you shall return	Gen 23:4|Job 17:13-16|Job 19:26|Job 21:26|Job 34:15|Ps 22:15, 29|Ps 104:29|Prov 21:16|Eccl 3:20|Eccl 12:7|Dan 12:2|Rom 5:12-21|1 Cor 15:21-22
Gen	3	20	Adam named his wife Eve	Gen 2:20, 23|Gen 5:29|Gen 16:11|Gen 29:32-35|Gen 35:18|Exod 2:10|1 Sam 1:20|Matt 1:21, 23
Gen	3	20	mother of all the living	Acts 17:26
Gen	3	21	made garments of skin	Gen 3:7|Isa 61:10|Rom 3:22|2 Cor 5:2-3, 21
Gen	3	22	like one of Us	Gen 3:5|Gen 1:26|Gen 11:6-7|Isa 19:12-13|Isa 47:12-13|Jer 22:23
Gen	3	22	tree of life	Gen 2:9|Prov 3:18|Rev 2:7|Rev 22:2
Gen	3	22	eat, and live forever	Ps 22:26|John 6:48-58
Gen	3	23	to work the ground	Gen 3:19|Gen 2:5|Gen 4:2, 12|Gen 9:20|Eccl 5:9
Gen	3	24	east side	Gen 2:8
Gen	3	24	cherubim	Exod 25:2, 20, 22|1 Sam 4:4|1 Kgs 6:25-35|Ps 80:1|Ps 99:1|Ps 104:4|Ezek 10:2-22|Heb 1:7
Gen	3	24	whirling sword of flame	Num 22:23|Josh 5:13|1 Chr 21:16-17|Heb 1:7
Gen	3	24	to guard the way	John 14:6|Heb 10:18-22
Gen	4	1	had relations with	Num 31:17
Gen	4	1	I have brought forth	Gen 4:25|Gen 3:15|Gen 5:29|1 John 3:12
Gen	4	2	Abel	Gen 30:29-31|Gen 37:13|Gen 46:32-34|Gen 47:3|Exod 3:1|Ps 78:70-72|Amos 7:15
Gen	4	2	keeper of sheep	Gen 4:25-26|Ps 127:3|John 8:44|1 John 3:10, 12, 15
Gen	4	2	tiller of the soil	Gen 3:23|Gen 9:20
Gen	4	3	in the course of time	1 Kgs 17:7|Neh 13:6
Gen	4	3	fruit of the soil	Lev 2:1-11|Num 18:12
Gen	4	4	firstborn of his flock	Exod 13:12|Num 18:12, 17|Prov 3:9|Heb 9:22|1 Pet 1:19-20|Rev 13:8
Gen	4	4	best portions	Lev 3:16-17
Gen	4	4	looked with favor	Gen 15:17|Lev 9:24|Num 16:35|Judg 6:21|1 Kgs 18:24, 38|1 Chr 21:26|2 Chr 7:1|Ps 20:3|Heb 11:4
Gen	4	5	but He had no regard	Num 16:15|Heb 11:4
Gen	4	5	angry	Gen 31:2, 5|Job 5:2|Ps 20:3|Isa 3:10-11|Matt 20:15|Luke 15:28-30|Acts 13:45
Gen	4	6	“Why are you angry,” said the LORD to Cain, “and why has your countenance fallen?	1 Chr 13:11-13|Job 5:2|Isa 1:18|Jer 2:5, 31|John 4:1-4, 8-11|Mic 6:3-5|Matt 20:15|Luke 15:31-32
Gen	4	7	If you do what is right	Gen 19:21|2 Sam 24:23|2 Kgs 8:28|Job 42:8|Prov 18:5|Eccl 8:12-13|Isa 3:10-11|Jer 6:20|Mal 1:8, 10, 13|Acts 10:35|Rom 2:7-10|Rom 12:1|Rom 14:18|Rom 15:16|Eph 1:6|1 Tim 5:4|1 Pet 2:5
Gen	4	7	be accepted	Job 29:4|Prov 21:27|Heb 11:4
Gen	4	7	sin	Gen 4:8-13|Rom 7:8-9|Jas 1:15
Gen	4	7	it desires you	Gen 3:16
Gen	4	8	said to his brother Abel	2 Sam 3:27|2 Sam 13:26-28|2 Sam 20:9-10|Neh 6:2|Ps 36:3|Ps 55:21|Prov 26:24-26|Mic 7:6|Luke 22:48
Gen	4	8	Cain rose up	2 Sam 14:6|Job 11:15|Ps 24:3-6|Ps 139:19|Matt 23:35|Luke 11:51|1 John 3:12-15|Jude 1:11
Gen	4	9	Where is	Gen 3:9-11|Ps 9:12
Gen	4	9	I do not know	Gen 37:32|Job 22:13-14|Ps 10:13-14|Prov 28:13|John 8:44|Acts 5:4-9
Gen	4	10	What have you done	Gen 3:13|Josh 7:19|Ps 50:21
Gen	4	10	cries out	Gen 18:20|Exod 3:7|2 Kgs 9:26|Job 16:18|Job 24:12|Job 31:38-39|Ps 9:12|Ps 72:14|Isa 5:7|Acts 5:3, 9|Heb 11:4|Heb 12:24|Jas 5:4|Rev 6:10
Gen	4	11	Now you are cursed and banished from the ground	Gen 4:14|Gen 3:14|Deut 27:16-26|Deut 28:15-20|Deut 29:19-21|Gal 3:10
Gen	4	11	opened its mouth	Job 16:18|Job 31:38-40|Isa 26:21|Rev 12:16
Gen	4	12	it will no longer yield its produce	Gen 3:17-18|Lev 26:20|Deut 28:23-24|Rom 8:20
Gen	4	12	a fugitive and a wanderer	Gen 4:14|Lev 26:36|Deut 28:65-66|Ps 109:10|Jer 20:3-4|Hos 9:17
Gen	4	13	My punishment is greater than I can bear.	Job 15:22|Rev 16:9, 11, 21
Gen	4	14	driven me	Job 15:20-24|Prov 14:32|Prov 28:1|Isa 8:22|Hos 13:3
Gen	4	14	from Your face	Gen 4:16|Job 21:14-15|Ps 51:11-14|Ps 143:7|Matt 25:41, 46|2 Thess 1:9
Gen	4	14	fugitive and a wanderer	Deut 28:65|Ps 109:10|Ps 109:12
Gen	4	14	whoever finds me	Gen 4:15|Gen 9:5-6|Lev 26:17, 36|Num 17:12-13|Num 35:19, 21, 27|2 Sam 14:7|Job 15:20-24|Prov 28:1
Gen	4	15	If anyone slays Cain	1 Kgs 16:7|Ps 59:11|Hos 1:4|Matt 26:52
Gen	4	15	sevenfold	Gen 4:24|Lev 26:18, 21, 24, 28|Ps 79:12|Prov 6:31
Gen	4	15	placed a mark	Ezek 9:4, 6|Rev 14:9, 11
Gen	4	16	went out	Gen 4:14|Gen 3:8|Exod 20:18|2 Kgs 13:23|2 Kgs 24:20|Job 1:12|Job 2:7|Job 20:17|Ps 5:11|Ps 68:2|Jer 23:39|Jer 52:3|John 1:3, 10|Matt 18:20|Luke 13:26|1 Thess 1:9
Gen	4	17	Enoch	Gen 5:18, 22
Gen	4	17	Cain built a city	Gen 11:4|Eccl 2:4-11|Dan 4:30|Luke 17:28-29
Gen	4	17	named it after his son	2 Sam 18:18|Ps 49:11
Gen	4	18	Lamech	Gen 5:21|Gen 36:2
Gen	4	19	two women	Gen 2:18, 24|Matt 19:4-6, 8
Gen	4	20	father of those who dwell in tents	Gen 4:21|1 Chr 2:50-52|1 Chr 4:4-5|John 8:44|Rom 4:11-12
Gen	4	20	dwell in tents	Gen 4:2|Gen 25:27|Jer 35:9-10|Heb 11:9
Gen	4	21	father	Rom 4:11-12
Gen	4	21	harp and flute	Gen 31:27|Job 21:12|Isa 5:12|Amos 6:5
Gen	4	22	bronze and iron	Exod 25:3|Num 31:22|Deut 8:9|Deut 33:25|2 Chr 2:7
